25
M,TO,ti,di,ci,tip,xi,speed
Port of Chiba,Port of Funabashi,0.496388888888889,7.942222222222222,273,1,0,16.0
Port of Funabashi,Port of Niigata,49.06361111111111,785.0177777777777,294,3,5,16.0
Port of Niigata,Port of Hakata,33.05694444444444,528.911111111111,256,8,4,16.0
Port of Hakata,Port of Hong Kong,72.50388888888891,1160.0622222222225,242,2,14,16.0
Port of Hong Kong,Port of Jakarta,120.03194444444445,1920.5111111111112,181,6,13,16.0
Port of Jakarta,Port of Paradip,188.6988888888889,3019.182222222222,310,1,49,16.0
Port of Paradip,Port of Kolkata,12.540277777777774,200.6444444444444,205,7,4,16.0
Port of Kolkata,Imam  Khomeini  Port,210.6075,3369.720000000001,298,4,35,16.0
Imam  Khomeini  Port,Dardanelles Strait,264.1125,4225.8,305,6,19,16.0
Dardanelles Strait,Port of Kaliningrad,238.3894444444444,3814.2311111111107,283,7,24,16.0
Port of Kaliningrad,Port of Novorossiysk,273.8258333333333,4381.213333333333,234,1,3,16.0
Port of Novorossiysk,Port Klang,401.23083333333335,6419.693333333334,298,1,143,16.0
Port Klang,Port of Masan,188.2513888888889,3012.0222222222224,200,2,6,16.0
Port of Masan,Hongkong International Terminals,77.98861111111111,1247.8177777777778,243,7,15,16.0
Hongkong International Terminals,Port of Huadu,1.3494444444444444,21.59111111111111,253,2,0,16.0
Port of Huadu,Port of Nampo,87.77944444444445,1404.4711111111112,257,2,8,16.0
Port of Nampo,Port of Dalian,11.261388888888884,180.18222222222215,234,8,0,16.0
Port of Dalian,Port of Niihama,46.74166666666667,747.8666666666667,161,8,4,16.0
Port of Niihama,Port of Nagoya,19.285833333333336,308.5733333333334,197,4,3,16.0
Port of Nagoya,Port of Mumbai,333.4,5334.4,249,2,6,16.0
Port of Mumbai,Port of Laem Chabang,210.07027777777787,3361.124444444445,200,7,18,16.0
Port of Laem Chabang,Port of Ningbo,146.59277777777774,2345.4844444444448,294,8,35,16.0
Port of Ningbo,Port of Busan,33.96972222222223,543.5155555555557,296,3,0,16.0
Port of Busan,Port of Chiba,42.71944444444445,683.5111111111112,215,3,6,16.0
