20
M,TO,ti,di,ci,tip,xi,speed
Port of Antwerp,Port of Bremerhaven,19.0,304.0,171,8,1,16.0
Port of Bremerhaven,Port of Gdynia,27.0,432.0,251,6,3,16.0
Port of Gdynia,Port of Helsinki,26.0,416.0,293,6,0,16.0
Port of Helsinki,Klaipeda State Seaport,21.0,336.0,224,2,1,16.0
Klaipeda State Seaport,Port of Hamburg,31.0,496.0,240,7,1,16.0
Port of Hamburg,Port of Immingham,24.0,384.0,320,9,0,16.0
Port of Immingham,Port of Leith,14.0,224.0,268,4,0,16.0
Port of Leith,Port of Copenhagen,40.0,640.0,206,4,5,16.0
Port of Copenhagen,Copenhagen Malmo Port,0.0,0.0,307,8,0,16.0
Copenhagen Malmo Port,Port of Piraeus,219.0,3504.0,205,3,23,16.0
Port of Piraeus,Port of Sevastopol,47.0,752.0,221,7,4,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,154,3,0,16.0
Port of Nikolaev,Porto Marghera,101.0,1616.0,202,7,2,16.0
Porto Marghera,Port of Marseille,84.0,1344.0,268,4,8,16.0
Port of Marseille,Port of Genoa,14.0,224.0,288,4,1,16.0
Port of Genoa,Port of Livorno,5.0,80.0,253,6,0,16.0
Port of Livorno,Port of Le Havre,132.0,2112.0,258,1,15,16.0
Port of Le Havre,Port of Rotterdam,15.0,240.0,198,2,0,16.0
Port of Rotterdam,Port of Antwerp,6.0,96.0,321,2,0,16.0
